# Frecuencias (Horarios) de ejemplo para Viedma
# Formato: ID_LINEA;DIA_SERVICIO;HH:MM
# Dia de servicio: 1=Lunes, 2=Martes, 3=Miércoles, 4=Jueves, 5=Viernes, 6=Sábado, 7=Domingo

# --- L1I (Ida) ---
L1I;1;07:00
L1I;1;08:00
L1I;1;09:00
L1I;1;17:00
L1I;1;18:00
L1I;2;07:00
L1I;2;08:00
L1I;2;09:00
L1I;2;17:00
L1I;2;18:00
L1I;3;07:00
L1I;3;08:00
L1I;3;09:00
L1I;3;17:00
L1I;3;18:00
L1I;4;07:00
L1I;4;08:00
L1I;4;09:00
L1I;4;17:00
L1I;4;18:00
L1I;5;07:00
L1I;5;08:00
L1I;5;09:00
L1I;5;17:00
L1I;5;18:00
L1I;6;08:00
L1I;6;10:00
L1I;6;12:00
L1I;7;09:00
L1I;7;11:00

# --- L1R (Regreso) ---
L1R;1;07:30
L1R;1;08:30
L1R;1;09:30
L1R;1;17:30
L1R;1;18:30
L1R;2;07:30
L1R;2;08:30
L1R;2;09:30
L1R;2;17:30
L1R;2;18:30
L1R;3;07:30
L1R;3;08:30
L1R;3;09:30
L1R;3;17:30
L1R;3;18:30
L1R;4;07:30
L1R;4;08:30
L1R;4;09:30
L1R;4;17:30
L1R;4;18:30
L1R;5;07:30
L1R;5;08:30
L1R;5;09:30
L1R;5;17:30
L1R;5;18:30
L1R;6;08:30
L1R;6;10:30
L1R;6;12:30
L1R;7;09:30
L1R;7;11:30

# --- L2I (Ida) ---
L2I;1;07:15
L2I;1;08:15
L2I;2;07:15
L2I;2;08:15
L2I;3;07:15
L2I;3;08:15
L2I;4;07:15
L2I;4;08:15
L2I;5;07:15
L2I;5;08:15
L2I;6;09:00
L2I;7;09:00

# --- L2R (Regreso) ---
L2R;1;07:45
L2R;1;08:45
L2R;2;07:45
L2R;2;08:45
L2R;3;07:45
L2R;3;08:45
L2R;4;07:45
L2R;4;08:45
L2R;5;07:45
L2R;5;08:45
L2R;6;09:30
L2R;7;09:30

# --- L3I (Ida Costanera) ---
L3I;1;08:00
L3I;2;08:00
L3I;3;08:00
L3I;4;08:00
L3I;5;08:00
L3I;6;10:00
L3I;7;10:00

# --- L3R (Regreso Costanera) ---
L3R;1;08:30
L3R;2;08:30
L3R;3;08:30
L3R;4;08:30
L3R;5;08:30
L3R;6;10:30
L3R;7;10:30

# --- L4I (Ida Terminal-Rotondas) ---
L4I;1;07:05
L4I;2;07:05
L4I;3;07:05
L4I;4;07:05
L4I;5;07:05
L4I;6;09:05
L4I;7;09:05

# --- L4R (Regreso Rotondas-Terminal) ---
L4R;1;07:35
L4R;2;07:35
L4R;3;07:35
L4R;4;07:35
L4R;5;07:35
L4R;6;09:35
L4R;7;09:35

# --- L5I (Ida Barrios Sur) ---
L5I;1;07:10
L5I;2;07:10
L5I;3;07:10
L5I;4;07:10
L5I;5;07:10
L5I;6;08:10
L5I;7;08:10

# --- L5R (Regreso Barrios Sur) ---
L5R;1;07:40
L5R;2;07:40
L5R;3;07:40
L5R;4;07:40
L5R;5;07:40
L5R;6;08:40
L5R;7;08:40

# --- L6I (Ida Zatti) ---
L6I;1;07:20
L6I;2;07:20
L6I;3;07:20
L6I;4;07:20
L6I;5;07:20
L6I;6;09:20
L6I;7;09:20

# --- L6R (Regreso Zatti) ---
L6R;1;07:50
L6R;2;07:50
L6R;3;07:50
L6R;4;07:50
L6R;5;07:50
L6R;6;09:50
L6R;7;09:50
